id1,Б/Н,2024-04-02,3.0,1.0
id1,Б/Н,2024-04-08,5.0,1.0
id1,Б/Н,2024-04-09,7.0,
id1,Б/Н,2024-04-10,12.0,2.0
id1,Б/Н,2024-04-17,5.0,
id1,Б/Н,2024-04-18,27.0,3.0
id1,Б/Н,2024-04-19,21.0,2.0
id1,Б/Н,2024-04-20,10.0,3.0
id1,Б/Н,2024-04-25,13.0,1.0
id1,Б/Н,2024-04-26,27.0,3.0
id1,Б/Н,2024-04-27,10.26,1.0
id2,0600РХ70,2024-04-04,9.08,
id2,0600РХ70,2024-04-10,43.2,2.0
id2,0600РХ70,2024-04-11,48.2,4.0
id2,0600РХ70,2024-04-18,2.2,
id2,0600РХ70,2024-04-25,1.0,
id2,0600РХ70,2024-04-28,12.4,1.0
id3,0003ТВ69,2024-04-03,2.0,
id3,0003ТВ69,2024-04-09,30.2,2.0
id3,0003ТВ69,2024-04-10,10.12,1.0
id3,0003ТВ69,2024-04-13,40.2,4.0
id3,0003ТВ69,2024-04-21,3.2,
id3,0003ТВ69,2024-04-23,10.6,2.0
id3,0003ТВ69,2024-04-25,2.0,
id3,0003ТВ69,2024-04-28,12.6,1.0
id3,0003ТВ69,2024-04-30,29.2,3.0
id4,М015НН197,2024-04-01,20.0,
id4,М015НН197,2024-04-08,35.0,
id4,М015НН197,2024-04-11,33.0,1.0
id4,М015НН197,2024-04-12,36.0,
id4,М015НН197,2024-04-13,13.0,
id4,М015НН197,2024-04-16,31.0,
id4,М015НН197,2024-04-17,15.0,
id4,М015НН197,2024-04-18,55.0,
id4,М015НН197,2024-04-21,66.0,1.0
id4,М015НН197,2024-04-24,69.0,
id4,М015НН197,2024-04-25,92.16,
id4,М015НН197,2024-04-26,121.0,1.0
id4,М015НН197,2024-04-27,3.83,
id5,5009СА70,2024-04-01,15.0,
id5,5009СА70,2024-04-02,6.0,
id5,5009СА70,2024-04-03,21.0,2.0
id5,5009СА70,2024-04-04,9.0,
id5,5009СА70,2024-04-05,12.0,
id5,5009СА70,2024-04-07,22.0,1.0
id5,5009СА70,2024-04-08,8.0,
id5,5009СА70,2024-04-10,55.0,3.0
id5,5009СА70,2024-04-12,13.0,
id5,5009СА70,2024-04-13,3.18,
id5,5009СА70,2024-04-15,2.0,
id5,5009СА70,2024-04-16,6.0,
id5,5009СА70,2024-04-17,13.0,
id5,5009СА70,2024-04-19,23.0,2.0
id5,5009СА70,2024-04-20,2.0,
id5,5009СА70,2024-04-24,17.0,
id5,5009СА70,2024-04-25,1.0,
id5,5009СА70,2024-04-26,32.1,
id5,5009СА70,2024-04-27,17.0,1.0
id5,5009СА70,2024-04-28,13.5,
id5,5009СА70,2024-04-29,14.5,
id6,5000СА70,2024-04-02,14.0,
