id1,Б/Н,2024-04-04,9.0
id1,Б/Н,2024-04-08,5.0
id1,Б/Н,2024-04-09,7.0
id1,Б/Н,2024-04-10,12.0
id1,Б/Н,2024-04-17,5.0
id1,Б/Н,2024-04-18,27.0
id1,Б/Н,2024-04-19,21.0
id1,Б/Н,2024-04-20,10.0
id1,Б/Н,2024-04-25,13.0
id1,Б/Н,2024-04-26,37.0
id1,Б/Н,2024-04-27,12.0
id2,0600РХ70,2024-04-04,0.0
id2,0600РХ70,2024-04-10,50.2
id2,0600РХ70,2024-04-11,50.2
id2,0600РХ70,2024-04-18,2.2
id2,0600РХ70,2024-04-25,1.0
id2,0600РХ70,2024-04-28,12.4
id3,0003ТВ69,2024-04-03,2.0
id3,0003ТВ69,2024-04-09,30.2
id3,0003ТВ69,2024-04-13,40.2
id3,0003ТВ69,2024-04-21,3.2
id3,0003ТВ69,2024-04-25,2.0
id3,0003ТВ69,2024-04-28,12.6
id3,0003ТВ69,2024-04-25,0
id3,0003ТВ69,2024-04-28,0
id3,0003ТВ69,2024-04-30,0
id4,М015НН197,2024-04-01,20.0
id4,М015НН197,2024-04-08,37.0
id4,М015НН197,2024-04-11,33.0
id4,М015НН197,2024-04-12,36.0
id4,М015НН197,2024-04-13,13.0
id4,М015НН197,2024-04-16,31.0
id4,М015НН197,2024-04-17,15.0
id4,М015НН197,2024-04-18,55.0
id4,М015НН197,2024-04-21,66.0
id4,М015НН197,2024-04-24,71.0
id4,М015НН197,2024-04-25,92.0
id4,М015НН197,2024-04-26,131.0
id4,М015НН197,2024-04-27,0.0
id5,5009СА70,2024-04-01,15.0
id5,5009СА70,2024-04-02,6.0
id5,5009СА70,2024-04-03,21.0
id5,5009СА70,2024-04-04,9.0
id5,5009СА70,2024-04-05,12.0
id5,5009СА70,2024-04-07,22.0
id5,5009СА70,2024-04-08,8.0
id5,5009СА70,2024-04-10,55.0
id5,5009СА70,2024-04-12,13.0
id5,5009СА70,2024-04-13,0.0
id5,5009СА70,2024-04-15,2.0
id5,5009СА70,2024-04-16,6.0
id5,5009СА70,2024-04-17,13.0
id5,5009СА70,2024-04-19,23.0
id5,5009СА70,2024-04-20,2.0
id5,5009СА70,2024-04-24,17.0
id5,5009СА70,2024-04-25,1.0
id5,5009СА70,2024-04-26,31.0
id5,5009СА70,2024-04-27,17.0
id5,5009СА70,2024-04-28,13.5
id5,5009СА70,2024-04-29,16.5
id6,5000СА70,2024-04-02,4.0
id6,5000СА70,2024-04-16,3.0
id6,5000СА70,2024-04-29,177.0
id6,5000СА70,2024-04-29,0
id7,9535РХ70,2024-04-05,4.0
id7,9535РХ70,2024-04-07,0.0
id7,9535РХ70,2024-04-10,1.0
id7,9535РХ70,2024-04-14,7.0
id7,9535РХ70,2024-04-15,2.0
id7,9535РХ70,2024-04-21,0.0
id8,0070РХ70,2024-04-04,23.56
id8,0070РХ70,2024-04-10,50.2
id8,0070РХ70,2024-04-11,50.2
id8,0070РХ70,2024-04-18,3.2
id8,0070РХ70,2024-04-25,1.0
id8,0070РХ70,2024-04-27,19.44
id8,0070РХ70,2024-04-29,15.4
id9,3344МР51,2024-04-04,3.8
id9,3344МР51,2024-04-10,10.2
id9,3344МР51,2024-04-11,60.2
id9,3344МР51,2024-04-16,18.0
id9,3344МР51,2024-04-18,2.2
id9,3344МР51,2024-04-25,1.0
id10,1610МР51,2024-04-01,22.0
id10,1610МР51,2024-04-03,19.0
id10,1610МР51,2024-04-04,5.4
id10,1610МР51,2024-04-11,6.0
id10,1610МР51,2024-04-17,13.0
id10,1610МР51,2024-04-18,40.0
id10,1610МР51,2024-04-19,4.0
id10,1610МР51,2024-04-20,2.0
id10,1610МР51,2024-04-21,10.0
id10,1610МР51,2024-04-24,369.0
id11,0061РХ70,2024-04-01,50.3
id11,0061РХ70,2024-04-05,27.69
id11,0061РХ70,2024-04-08,27.13
id11,0061РХ70,2024-04-10,51.0
id11,0061РХ70,2024-04-16,1.0
